timestamp,focus_state,confidence_score,focus_score,relaxed_prob,neutral_prob,concentrating_prob,TP9,AF7,AF8,TP10,Right_AUX
20:50:33,concentrating,0.997,1.0,0.33,0.33,0.34,40.527,233.398,34.18,30.273,36.621
20:50:34,concentrating,0.997,1.0,0.33,0.33,0.34,-27.832,100.586,46.387,12.695,63.965
20:50:36,concentrating,0.996,1.0,0.33,0.33,0.34,30.762,-140.625,35.156,22.461,-8.301
20:50:37,concentrating,0.997,1.0,0.33,0.33,0.34,24.414,270.996,30.762,48.828,37.109
20:50:38,concentrating,0.996,1.0,0.33,0.33,0.34,7.324,131.348,28.32,29.785,41.504
20:50:39,concentrating,0.995,1.0,0.33,0.33,0.34,20.02,-15.625,40.039,19.043,23.926
20:50:40,concentrating,0.996,1.0,0.33,0.33,0.34,28.32,235.352,35.645,40.039,40.039
20:50:42,concentrating,0.997,1.0,0.33,0.33,0.34,30.273,7.812,28.809,20.996,45.41
20:50:43,concentrating,0.997,1.0,0.33,0.33,0.34,27.344,96.68,24.902,10.254,0.977
20:50:44,concentrating,0.99,1.0,0.33,0.33,0.34,35.645,-139.648,32.715,89.844,-0.977
20:50:46,concentrating,0.995,1.0,0.33,0.33,0.34,56.641,-117.188,32.715,43.457,58.594
20:50:47,concentrating,0.995,1.0,0.33,0.33,0.34,5.859,351.074,38.086,-0.977,-34.668
20:50:48,concentrating,0.916,1.0,0.33,0.33,0.34,41.992,589.844,20.996,32.715,45.898
20:50:49,concentrating,0.824,1.0,0.33,0.33,0.34,187.012,-616.699,78.613,189.453,36.621
20:50:51,neutral,0.747,0.6,0.33,0.33,0.34,41.992,-340.332,-11.719,68.848,-17.578
20:50:52,concentrating,0.731,1.0,0.33,0.33,0.34,63.477,-151.855,30.273,60.547,6.836
20:50:53,concentrating,0.837,1.0,0.33,0.33,0.34,72.754,318.359,45.898,78.125,46.387
20:50:54,concentrating,0.929,1.0,0.33,0.33,0.34,48.828,-246.582,40.039,45.41,96.68
20:50:56,concentrating,0.996,1.0,0.33,0.33,0.34,54.199,231.934,41.016,58.105,1.465
20:50:57,concentrating,0.997,1.0,0.33,0.33,0.34,48.34,132.812,38.086,38.086,45.41
20:50:58,concentrating,0.997,1.0,0.33,0.33,0.34,45.898,231.445,39.551,61.523,-11.719
20:51:00,concentrating,0.998,1.0,0.33,0.33,0.34,33.203,242.188,38.574,38.574,23.438
20:51:01,concentrating,0.997,1.0,0.33,0.33,0.34,40.039,178.711,46.387,44.434,2.93
20:51:02,concentrating,0.998,1.0,0.33,0.33,0.34,38.574,47.363,41.992,43.457,34.18
20:51:04,concentrating,0.998,1.0,0.33,0.33,0.34,42.48,-149.902,45.41,41.016,2.93
20:51:05,concentrating,0.998,1.0,0.33,0.33,0.34,53.711,-101.562,44.434,52.734,-16.113
20:51:06,concentrating,0.999,1.0,0.33,0.33,0.34,-48.34,210.938,31.25,-86.426,10.254
20:51:08,concentrating,0.997,1.0,0.33,0.33,0.34,36.621,191.895,38.086,50.781,64.941
20:51:09,concentrating,0.997,1.0,0.33,0.33,0.34,39.551,-146.973,34.18,33.203,65.918
20:51:10,concentrating,0.998,1.0,0.33,0.33,0.34,50.293,-105.469,52.734,40.527,49.316
20:51:11,concentrating,0.997,1.0,0.33,0.33,0.34,59.57,-238.77,42.48,40.039,15.137
20:51:13,concentrating,0.998,1.0,0.33,0.33,0.34,33.691,208.008,32.715,40.527,57.129
20:51:14,concentrating,0.998,1.0,0.33,0.33,0.34,56.641,182.129,45.41,52.246,39.062
